,product_id,product_lvl1_cat_desc,product_lvl2_cat_desc
543,73530,BabyAndChild,BabyHome
544,74996,BabyAndChild,BabyHome
545,80485,BabyAndChild,BabyHome
546,80631,BabyAndChild,BabyHome
547,81845,BabyAndChild,BabyHome
548,85223,BabyAndChild,BabyHome
549,85796,BabyAndChild,BabyHome
550,99933,BabyAndChild,BabyHome
551,101831,BabyAndChild,BabyHome
552,108815,BabyAndChild,BabyHome
553,117506,BabyAndChild,BabyHome
554,119686,BabyAndChild,BabyHome
555,137968,BabyAndChild,BabyHome
556,140132,BabyAndChild,BabyHome
557,174366,BabyAndChild,BabyHome
558,174868,BabyAndChild,BabyHome
559,174869,BabyAndChild,BabyHome
560,175068,BabyAndChild,BabyHome
561,209530,BabyAndChild,BabyHome
562,215969,BabyAndChild,BabyHome
563,215971,BabyAndChild,BabyHome
564,372,BabyAndChild,BabyPersonal
565,2011,BabyAndChild,BabyPersonal
566,2054,BabyAndChild,BabyPersonal
567,2913,BabyAndChild,BabyPersonal
568,3059,BabyAndChild,BabyPersonal
569,3888,BabyAndChild,BabyPersonal
570,4177,BabyAndChild,BabyPersonal
571,4325,BabyAndChild,BabyPersonal
572,6227,BabyAndChild,BabyPersonal
573,7028,BabyAndChild,BabyPersonal
574,8010,BabyAndChild,BabyPersonal
575,8791,BabyAndChild,BabyPersonal
576,9252,BabyAndChild,BabyPersonal
577,9326,BabyAndChild,BabyPersonal
578,10503,BabyAndChild,BabyPersonal
579,10931,BabyAndChild,BabyPersonal
580,11029,BabyAndChild,BabyPersonal
581,14070,BabyAndChild,BabyPersonal
582,14755,BabyAndChild,BabyPersonal
583,14836,BabyAndChild,BabyPersonal
584,15458,BabyAndChild,BabyPersonal
585,16837,BabyAndChild,BabyPersonal
586,17354,BabyAndChild,BabyPersonal
587,17550,BabyAndChild,BabyPersonal
588,18473,BabyAndChild,BabyPersonal
589,20143,BabyAndChild,BabyPersonal
590,20435,BabyAndChild,BabyPersonal
591,21244,BabyAndChild,BabyPersonal
592,21768,BabyAndChild,BabyPersonal
593,21772,BabyAndChild,BabyPersonal
594,23781,BabyAndChild,BabyPersonal
595,24095,BabyAndChild,BabyPersonal
596,25200,BabyAndChild,BabyPersonal
597,25550,BabyAndChild,BabyPersonal
598,25991,BabyAndChild,BabyPersonal
599,26160,BabyAndChild,BabyPersonal
600,26201,BabyAndChild,BabyPersonal
601,29114,BabyAndChild,BabyPersonal
602,29122,BabyAndChild,BabyPersonal
603,30290,BabyAndChild,BabyPersonal
604,31710,BabyAndChild,BabyPersonal
605,32598,BabyAndChild,BabyPersonal
606,33418,BabyAndChild,BabyPersonal
607,34004,BabyAndChild,BabyPersonal
608,34471,BabyAndChild,BabyPersonal
609,34667,BabyAndChild,BabyPersonal
610,35024,BabyAndChild,BabyPersonal
611,35692,BabyAndChild,BabyPersonal
612,37916,BabyAndChild,BabyPersonal
613,39603,BabyAndChild,BabyPersonal
614,40411,BabyAndChild,BabyPersonal
615,40629,BabyAndChild,BabyPersonal
616,41446,BabyAndChild,BabyPersonal
617,42616,BabyAndChild,BabyPersonal
618,42723,BabyAndChild,BabyPersonal
619,42800,BabyAndChild,BabyPersonal
620,42966,BabyAndChild,BabyPersonal
621,45582,BabyAndChild,BabyPersonal
622,46253,BabyAndChild,BabyPersonal
623,46311,BabyAndChild,BabyPersonal
624,46402,BabyAndChild,BabyPersonal
625,46635,BabyAndChild,BabyPersonal
626,46877,BabyAndChild,BabyPersonal
627,47514,BabyAndChild,BabyPersonal
628,48300,BabyAndChild,BabyPersonal
629,48325,BabyAndChild,BabyPersonal
630,48872,BabyAndChild,BabyPersonal
631,49093,BabyAndChild,BabyPersonal
632,49148,BabyAndChild,BabyPersonal
633,49411,BabyAndChild,BabyPersonal
634,49875,BabyAndChild,BabyPersonal
635,51100,BabyAndChild,BabyPersonal
636,52188,BabyAndChild,BabyPersonal
637,52718,BabyAndChild,BabyPersonal
638,53996,BabyAndChild,BabyPersonal
639,54396,BabyAndChild,BabyPersonal
640,54639,BabyAndChild,BabyPersonal
641,55338,BabyAndChild,BabyPersonal
642,55788,BabyAndChild,BabyPersonal
643,55789,BabyAndChild,BabyPersonal
644,56421,BabyAndChild,BabyPersonal
645,56606,BabyAndChild,BabyPersonal
646,57329,BabyAndChild,BabyPersonal
647,58025,BabyAndChild,BabyPersonal
648,58940,BabyAndChild,BabyPersonal
649,59180,BabyAndChild,BabyPersonal
650,59380,BabyAndChild,BabyPersonal
651,61396,BabyAndChild,BabyPersonal
652,63263,BabyAndChild,BabyPersonal
653,63575,BabyAndChild,BabyPersonal
654,63961,BabyAndChild,BabyPersonal
655,64500,BabyAndChild,BabyPersonal
656,65306,BabyAndChild,BabyPersonal
657,65413,BabyAndChild,BabyPersonal
658,65964,BabyAndChild,BabyPersonal
659,66113,BabyAndChild,BabyPersonal
660,66791,BabyAndChild,BabyPersonal
661,66906,BabyAndChild,BabyPersonal
662,68306,BabyAndChild,BabyPersonal
663,68686,BabyAndChild,BabyPersonal
664,68986,BabyAndChild,BabyPersonal
665,69060,BabyAndChild,BabyPersonal
666,69077,BabyAndChild,BabyPersonal
667,69811,BabyAndChild,BabyPersonal
668,71351,BabyAndChild,BabyPersonal
669,72636,BabyAndChild,BabyPersonal
670,74147,BabyAndChild,BabyPersonal
671,75199,BabyAndChild,BabyPersonal
672,75843,BabyAndChild,BabyPersonal
673,77514,BabyAndChild,BabyPersonal
674,84174,BabyAndChild,BabyPersonal
675,84217,BabyAndChild,BabyPersonal
676,84298,BabyAndChild,BabyPersonal
677,85504,BabyAndChild,BabyPersonal
678,86055,BabyAndChild,BabyPersonal
679,88033,BabyAndChild,BabyPersonal
680,88117,BabyAndChild,BabyPersonal
681,88234,BabyAndChild,BabyPersonal
682,88417,BabyAndChild,BabyPersonal
683,88564,BabyAndChild,BabyPersonal
684,89324,BabyAndChild,BabyPersonal
685,91787,BabyAndChild,BabyPersonal
686,92345,BabyAndChild,BabyPersonal
687,92626,BabyAndChild,BabyPersonal
688,92720,BabyAndChild,BabyPersonal
689,94184,BabyAndChild,BabyPersonal
690,94823,BabyAndChild,BabyPersonal
691,95378,BabyAndChild,BabyPersonal
692,97829,BabyAndChild,BabyPersonal
693,98977,BabyAndChild,BabyPersonal
694,99265,BabyAndChild,BabyPersonal
